ID,Timestamp,User,Text,Cleaned_Text,Sentiment,Label
1952824531631948128,2025-08-05 20:10:24+00:00,1877910876986003456,RT @GovAbbottPress: Texas has every right to redraw district lines to represent ALL voters.  Democrats turned their backs on Texans.  They…,rt texas has every right to redraw district lines to represent all voters democrats turned their backs on texans they,Negative,Negative
1952824529782550533,2025-08-05 20:10:24+00:00,1605072613507735554,RT @WallStreetApes: Democrats saying Texas redistricting is election rigging is hilarious when you learn Mark Zuckerberg paid off Secretari…,rt democrats saying texas redistricting is election rigging is hilarious when you learn mark zuckerberg paid off secretari,Positive,Positive
1952824529304055953,2025-08-05 20:10:24+00:00,1039533893341392896,"RT @MeidasTouch: Flood: ""YOU DO NOT GET FREE HEALTHCARE! YOU DO NOT GET FREE HEALTHCARE!""  Meiselas: That was MAGA Republican Congressmembe…",rt flood you do not get free healthcare you do not get free healthcare meiselas that was maga republican congressmembe,Negative,Negative
1952824527668564267,2025-08-05 20:10:23+00:00,1716592435437150208,RT @TheTNHoller: TEXAS FLOOD VICTIMS: “Trump &amp; Abbott told us we’d have every resource we need — we got an 8% property tax hike… our warnin…,rt texas flood victims trump amp abbott told us wed have every resource we need we got an 8 property tax hike our warnin,Negative,Negative
1952824527039414629,2025-08-05 20:10:23+00:00,1616824915952553984,RT @pratikhayaat: 1.500.000.000 kişi iç parazitlerle yaşıyor ve hiçbir fikirleri yok.  Gizlice şunlara neden oluyor:  • Yorgunluk • Depresy…,rt 1500000000 kişi iç parazitlerle yaşıyor ve hiçbir fikirleri yok gizlice şunlara neden oluyor yorgunluk depresy,Neutral,Neutral
1952824523889230108,2025-08-05 20:10:22+00:00,1490688780738744324,RT @RachelBitecofer: Texas Republicans have held just 1 hearing on flood response after they let people on the Guadalupe flood plain drown…,rt texas republicans have held just 1 hearing on flood response after they let people on the guadalupe flood plain drown,Negative,Negative
1952824522224353426,2025-08-05 20:10:22+00:00,320156645,RT @0liviajulianna: And just so we’re clear— Texas Democrats begged Republicans for weeks to pass flood relief but they refused and instead…,rt and just so were clear texas democrats begged republicans for weeks to pass flood relief but they refused and instead,Neutral,Neutral
1952824519426752896,2025-08-05 20:10:21+00:00,1224824216920289280,RT @TheTNHoller: TEXAS FLOOD VICTIMS: “Trump &amp; Abbott told us we’d have every resource we need — we got an 8% property tax hike… our warnin…,rt texas flood victims trump amp abbott told us wed have every resource we need we got an 8 property tax hike our warnin,Negative,Negative
1952824518604648902,2025-08-05 20:10:21+00:00,17692444,"@cupofchaii I see love in every curve of your skin. You fascinate me with your elegance and amaze me with your femininity. Your very existence is a work of art in itself; you are a flood of passion that stops time with your smile and intoxicates my soul with your touch. Not only your body,",i see love in every curve of your skin you fascinate me with your elegance and amaze me with your femininity your very existence is a work of art in itself you are a flood of passion that stops time with your smile and intoxicates my soul with your touch not only your body,Positive,Positive
1952824516280823875,2025-08-05 20:10:21+00:00,1579897435274502144,RT @CalltoActivism: 🚨WOW. A voter in deep red Nebraska torched Mike Flood at his own town-hall:  Q: (How do you) expect to pay back all thi…,rt wow a voter in deep red nebraska torched mike flood at his own townhall q how do you expect to pay back all thi,Positive,Positive
1952824510404538623,2025-08-05 20:10:19+00:00,288550448,RT @MAGACult2: Mike Flood (NE) is not having a good couple of days on social media https://t.co/JIZ5PJmmMJ,rt mike flood ne is not having a good couple of days on social media,Negative,Negative
1952824505812042074,2025-08-05 20:10:18+00:00,1922276505293344768,"@marduk_aza @Therapyquotes_ Like ""Adam,"" its cognate in Hebrew, the AKKADIAN word ""Adapa"" means ""man."" Adapa was the first of the seven sages of Eridu who lived before the flood. These sages talked with the gods, performed their rites, and helped them bring order and civilization to mankind.",like adam its cognate in hebrew the akkadian word adapa means man adapa was the first of the seven sages of eridu who lived before the flood these sages talked with the gods performed their rites and helped them bring order and civilization to mankind,Positive,Positive
1952824503945564246,2025-08-05 20:10:18+00:00,1616824915952553984,RT @neyeiyigeliir: Sana yalan söylendi.  Şişkinlik normal değildir. Bağırsaklarınızın iltihaplandığına dair bir uyarı işaretidir.  Bağırsak…,rt sana yalan söylendi şişkinlik normal değildir bağırsaklarınızın iltihaplandığına dair bir uyarı işaretidir bağırsak,Neutral,Neutral
1952824500653047958,2025-08-05 20:10:17+00:00,1889156880934817793,@MarySCIL @ChrisCillizza @chucktodd But did they do it mid decade? Did they call a special session under the guise of flood relief in order to rig the midterms?,but did they do it mid decade did they call a special session under the guise of flood relief in order to rig the midterms,Positive,Positive
1952824499428078005,2025-08-05 20:10:17+00:00,1794422286155390976,Farauta Confirms 29 Dead in Yola Flood Disaster - TheMeteor https://t.co/uvSwPqYdIy https://t.co/Y6WNXgzbjr,farauta confirms 29 dead in yola flood disaster themeteor,Negative,Negative
1952824498857885826,2025-08-05 20:10:16+00:00,1616824915952553984,"RT @pratikhayaat: Elma sirkesi kilo verme konusunda en az bilinen yöntemdir.  Karın yağlarını eritir, kan şekerini düzenler, açlık hormonla…",rt elma sirkesi kilo verme konusunda en az bilinen yöntemdir karın yağlarını eritir kan şekerini düzenler açlık hormonla,Neutral,Neutral
1952824497901342839,2025-08-05 20:10:16+00:00,568057170,"RT @Acyn: Question for Mike Flood: With $450 million being allocated to Alligator Alcatraz, and ICE burning through $8.4 million a day to i…",rt question for mike flood with 450 million being allocated to alligator alcatraz and ice burning through 84 million a day to i,Neutral,Neutral
1952824497020486130,2025-08-05 20:10:16+00:00,1894167739746471936,"RT @Devrim19191881: İsviçre'de her 7 yetişkinden 1'i milyoner.  Bu, ABD'dekinin 5 katı.  Zengin olma konusunda alışkanlıklarınız hakkında d…",rt i̇sviçrede her 7 yetişkinden 1i milyoner bu abddekinin 5 katı zengin olma konusunda alışkanlıklarınız hakkında d,Neutral,Neutral
1952824496404021527,2025-08-05 20:10:16+00:00,1074170409765998594,RT @adrenalinIendin: Okyanusun muazzam güzelliği. Bir flood 🧵  1. İnsanların 500 yıl önce bu denizlerde nasıl yolculuk ettiğini hâlâ aklım…,rt okyanusun muazzam güzelliği bir flood 1 i̇nsanların 500 yıl önce bu denizlerde nasıl yolculuk ettiğini hâlâ aklım,Neutral,Neutral
1952824489072574592,2025-08-05 20:10:14+00:00,1616824915952553984,"RT @neyeiyigeliir: Magnezyum Glisinat, dünyadaki en az değer verilen uyku arttırıcıdır.  Sinir sistemini yatıştırır, kaygıyı azaltır, derin…",rt magnezyum glisinat dünyadaki en az değer verilen uyku arttırıcıdır sinir sistemini yatıştırır kaygıyı azaltır derin,Neutral,Neutral
1952824488812499057,2025-08-05 20:10:14+00:00,1946268286880002048,@AngkorTommyGun Youll flood your diaper until you drown,youll flood your diaper until you drown,Negative,Negative
1952824487038099472,2025-08-05 20:10:14+00:00,1709715086246301697,RT @GovAbbottPress: Texas has every right to redraw district lines to represent ALL voters.  Democrats turned their backs on Texans.  They…,rt texas has every right to redraw district lines to represent all voters democrats turned their backs on texans they,Negative,Negative
1952824483586424887,2025-08-05 20:10:13+00:00,1305672821016731649,RT @CalltoActivism: 🚨WOW. A voter in deep red Nebraska torched Mike Flood at his own town-hall:  Q: (How do you) expect to pay back all thi…,rt wow a voter in deep red nebraska torched mike flood at his own townhall q how do you expect to pay back all thi,Positive,Positive
1952824483191890426,2025-08-05 20:10:13+00:00,1753821716822835200,@SamuelKennis @LumiterraGame @KaitoAI Never fading. just charging up to flood CT with that zesty gLUMI energy 💛🟨 #Lumiterra,never fading just charging up to flood ct with that zesty glumi energy,Positive,Positive
1952824481241534611,2025-08-05 20:10:12+00:00,1883634809089474560,@Ruby959595 @GavinNewsom Kinda like those flood victims… as Abbott makes sure to ban cellphones… and gerrymander districts..  You are sounding kinda hypocritical there sparky,kinda like those flood victims as abbott makes sure to ban cellphones and gerrymander districts you are sounding kinda hypocritical there sparky,Negative,Negative
1952824478204830127,2025-08-05 20:10:11+00:00,1204249051350421509,@TXFreeAlliance Lies you tried gerrymandering the state into oblivion. Took flood funding hostage to do that. Now you expect dems to help when you want to gerrymander them out.,lies you tried gerrymandering the state into oblivion took flood funding hostage to do that now you expect dems to help when you want to gerrymander them out,Positive,Positive
